question,answer,category,product,language
What is PureLeven Exim?,PureLeven Exim is a Kerala-based spice seller that sources premium spices directly from farms in Idukki district and ships across India.,About,General,English
What languages do you support?,We support English and Malayalam. Reply in the same language as your message.,Support,General,English
How do I greet PureLeven Exim?,Hello! 😊 Welcome to PureLeven Exim – Premium Idukki Spices. How can I help you today?,Greeting,General,English
What is the delivery rule?,"Free delivery on all 200g+ packs and on ALL combo orders. ₹40 delivery charge applies to 100g individual packs only.",Delivery,General,English
What is the current price of Cardamom?,"Cardamom (8.5mm A+ Export): 100g = ₹460 + ₹40 delivery | 200g = ₹840 free | 500g = ₹1799 free | 1kg = ₹3350 free",Pricing,Cardamom,English
What is the current price of Black Pepper?,"Black Pepper (Idukki): 250g = ₹300 + ₹40 delivery | 500g = ₹540 free | 1kg = ₹950 free",Pricing,Pepper,English
What is the current price of Ceylon Cinnamon?,"Ceylon Cinnamon (C5): 100g = ₹320 + ₹40 delivery | 200g = ₹560 free | 500g = ₹1400 free",Pricing,Cinnamon,English
What is the current price of Clove?,"Clove (Adimali): 100g = ₹180 + ₹40 delivery | 200g = ₹340 free | 500g = ₹649 free",Pricing,Clove,English
What is the current price of Turmeric Powder?,"Turmeric Powder: 100g = ₹160 + ₹40 delivery | 200g = ₹300 free",Pricing,Turmeric,English
What are the combo offers?,"Combo offers (all with FREE delivery): Cardamom 100g + Cinnamon 100g = ₹699 | Cardamom 100g + Clove 100g = ₹560 | Cardamom 100g + Pepper 200g = ₹640",Pricing,Combo,English
What is the delivery time?,We dispatch within 1-2 business days via India Post or courier. Delivery usually takes 3-7 days depending on your location. We'll share a tracking number once dispatched. 📦,Delivery,General,English
Do you deliver all over India?,Yes! We deliver pan-India via India Post and courier. 🇮🇳,Delivery,General,English
Can I get a tracking number?,Yes we'll share the tracking number here as soon as your order is dispatched. 📬,Delivery,General,English
Is there any discount for multiple items?,"Yes! Our combo offers give you free delivery AND savings compared to buying individually. For example Cardamom 100g + Cinnamon 100g is ₹699 with free delivery — great value! 🎁",Pricing,General,English
Is your cardamom original / A+ grade / chemical-free?,"Yes! Our cardamom is 8.5mm A+ Export Grade sourced directly from Idukki farms. No artificial colour no additives — 100% natural. 🌿",Quality,Cardamom,English
Is your cinnamon real Ceylon cinnamon or cassia?,"It's original Ceylon Cinnamon (C5 grade) — true cinnamon not cassia. Sourced directly from Sri Lanka. Much healthier and more fragrant! 🍂",Quality,Cinnamon,English
Is your pepper from Idukki?,"Yes it's first-quality Idukki black pepper — washed cleaned and graded. No stones no dust. Pure Idukki produce. 🌿",Quality,Pepper,English
Is COD available?,"Yes! COD is available. A small advance of ₹100 (₹60 booking + ₹40 COD charge) is required. The balance is paid to the courier on delivery. 💵",Payment,General,English
Can I return if not satisfied?,"Yes! We offer free return and refund within 3 days of delivery if you're not satisfied. 🔄",Returns,General,English
Do you have wholesale / bulk rates?,"Yes we offer special rates for bulk buyers and businesses. Please share the product name quantity needed and your location — we'll send you a customised quote! 📊",Wholesale,General,English
Do you export?,"We do supply export-quality products. For export enquiries please share your specifications (product grade quantity destination) and we'll connect you with the right person.",Wholesale,General,English
Do you have black cardamom?,"We currently stock only green cardamom (8.5mm A+ Export Grade). Black cardamom is not available with us at the moment.",Availability,Cardamom,English
Do you have other spices (nutmeg star anise etc)?,Currently we stock Cardamom Black Pepper Ceylon Cinnamon Clove and Turmeric. We'll add more products soon! 😊,Availability,General,English
Can I call you?,Sure! You can reach us at 📞 8848265849,Support,General,English
Is this price including delivery?,"Delivery (₹40) applies only to 100g individual packs. All 200g+ packs and all combo orders come with FREE delivery! ✅",Pricing,General,English
How do I place an order?,Share the product(s) and quantity you'd like. We'll then collect your delivery address and calculate the total. After that we'll share payment details.,Order,General,English
What payment methods do you accept?,"We accept Google Pay (8075519579) Bank Transfer (BASIL THOMAS | A/C: 50100439256291 | IFSC: HDFC0000133) and Cash on Delivery (₹100 advance required).",Payment,General,English
How do I pay via Google Pay?,"Send ₹___ to 8075519579 in the name of PureLeven Exim via Google Pay. After payment please share a screenshot here so we can confirm and dispatch.",Payment,General,English
How do I pay via Bank Transfer?,"Send money to: Account holder: BASIL THOMAS | Account number: 50100439256291 | IFSC: HDFC0000133. After payment share a screenshot here.",Payment,General,English
How does COD work?,"COD requires ₹100 advance payment (₹60 booking + ₹40 COD charge) via GPay or bank. The remaining balance is paid to the courier on delivery.",Payment,General,English
How long does it take to dispatch?,"We dispatch within 1-2 business days. You'll receive a tracking number once your order is dispatched.",Delivery,General,English
I haven't received my order yet,We're really sorry to hear that! 🙏 Could you please share your order date delivery address and what you ordered? We'll investigate and resolve this right away.,Complaint,General,English
I received the wrong item / short delivery,"We sincerely apologise for this! 🙏 Please share a photo of what you received along with your order details. We'll send the correct items or make up the shortfall at the earliest.",Complaint,General,English
Can I get a refund?,"We're sorry for the inconvenience! 🙏 Please share your order details and the reason for the refund. We'll process it within 3 business days via the original payment method.",Returns,General,English
Is the quality guaranteed?,"We stand behind the quality of our spices 100%. If you have any quality concerns please share a photo and we'll make it right for you.",Quality,General,English
What if I'm not satisfied?,"We offer free return and refund within 3 days of delivery if you're not satisfied. No questions asked! 🔄",Returns,General,English
Do you offer discount for bulk orders?,Yes! We offer special rates for bulk buyers. Please share the product quantity and location so we can provide a customised quote.,Wholesale,General,English
നിങ്ങൾ ഏത് ഭാഷയിൽ സംസാരിക്കുന്നു?,ഞങ്ങൾ ഇംഗ്ലീഷും മലയാളവും പിന്തുണയ്ക്കുന്നു.,Support,General,Malayalam
PureLeven Exim എന്ത്?,PureLeven Exim കേരളത്തിലെ ഇടുക്കി ജില്ലയിൽ നിന്നും നേരിട്ട് പ്രീമിയം സുഗന്ധവ്യഞ്ജനങ്ങൾ വിൽക്കുന്ന ഒരു കമ്പനി.,About,General,Malayalam
ഏലക്ക വിലയെത്ര?,ഏലക്ക (8.5mm A+ Export): 100g = ₹460 + ₹40 ഡെലിവറി | 200g = ₹840 ഫ്രീ | 500g = ₹1799 ഫ്രീ | 1kg = ₹3350 ഫ്രീ,Pricing,Cardamom,Malayalam
കുരുമുളക് വിലയെത്ര?,കുരുമുളക് (ഇടുക്കി): 250g = ₹300 + ₹40 ഡെലിവറി | 500g = ₹540 ഫ്രീ | 1kg = ₹950 ഫ്രീ,Pricing,Pepper,Malayalam
കറുവപ്പട്ട വിലയെത്ര?,കറുവപ്പട്ട (Ceylon C5): 100g = ₹320 + ₹40 ഡെലിവറി | 200g = ₹560 ഫ്രീ | 500g = ₹1400 ഫ്രീ,Pricing,Cinnamon,Malayalam
ഗ്രാമ്പൂ വിലയെത്ര?,ഗ്രാമ്പൂ (Adimali): 100g = ₹180 + ₹40 ഡെലിവറി | 200g = ₹340 ഫ്രീ | 500g = ₹649 ഫ്രീ,Pricing,Clove,Malayalam
മഞ്ഞൾ പൊടി വിലയെത്ര?,മഞ്ഞൾ പൊടി: 100g = ₹160 + ₹40 ഡെലിവറി | 200g = ₹300 ഫ്രീ,Pricing,Turmeric,Malayalam
കോമ്പോ ഓഫറുകൾ എന്തൈ?,"കോമ്പോ ഓഫറുകൾ (Free ഡെലിവറി): ഏലക്ക 100g + കറുവപ്പട്ട 100g = ₹699 | ഏലക്ക 100g + ഗ്രാമ്പൂ 100g = ₹560 | ഏലക്ക 100g + കുരുമുളക് 200g = ₹640",Pricing,Combo,Malayalam
ഡെലിവറി സമയമെത്ര?,ഞങ്ങൾ 1-2 ദിവസത്തിനകം dispatch ചെയ്യും. ഡെലിവറി സാധാരണ 3-7 ദിവസം എടുക്കും. Dispatch ആകുമ്പോൾ tracking number share ചെയ്യാം. 📦,Delivery,General,Malayalam
ഇന്ത്യയ്ക്കുട്ടെ എത്രയും ഡെലിവറി ചെയ്യുന്നോ?,അതെ! ഞങ്ങൾ ഇന്ത്യയിലെ എല്ലാ സ്ഥലത്തേക്കും ഡെലിവറി ചെയ്യുന്നു. 🇮🇳,Delivery,General,Malayalam
ട്രാക്കിംഗ് നമ്പർ കിട്ടുമോ?,"അതെ! Dispatch ആകുമ്പോൾ ട്രാക്കിംഗ് നമ്പർ ഇവിടെ share ചെയ്യാം. 📬",Delivery,General,Malayalam
വൈകുന്ന് കുറച്ചോ പലതും വാങ്ങിയാൽ?,"അതെ! ഞങ്ങളുടെ കോമ്പോ ഓഫറുകൾ free ഡെലിവറി നൽകുന്നു. ഓരോന്ന് വേറെയായി വാങ്ങുന്നതിനേക്കാൾ കൂടുതൽ സ്ഥിരത! 🎁",Pricing,General,Malayalam
നിങ്ങളുടെ ഏലക്ക ഓരിജിനൽ A+ ഗ്രേഡ്‌?,"അതെ! ഞങ്ങളുടെ ഏലക്ക 8.5mm A+ Export Grade ഇടുക്കി ഫാമിൽ നിന്നും. കൃത്രിമ നിറം ഇല്ല - 100% പ്രകൃതിദത്തം. 🌿",Quality,Cardamom,Malayalam
ഈ കറുവപ്പട്ട സത്യത്തിലുമായ Ceylon കറുവപ്പട്ടാണോ?,സത്യത്തിലുമായ Ceylon Cinnamon (C5 grade) - ശരിയായ കറുവപ്പട്ട. സ്രീലങ്കയിൽ നിന്നും. കൂടുതൽ സ്വാസ്ഥ്യകരവും സുഗന്ധമായും ഉണ്ട് 🍂,Quality,Cinnamon,Malayalam
നിങ്ങളുടെ കുരുമുളക് ഇടുക്കി ഉത്പാദനമാണോ?,"അതെ ഇടുക്കി കുരുമുളക് - കഴുകിയ, വൃത്തിയാക്കിയ, ഗ്രേഡ് ചെയ്ത. കല്ലോ പൊടിയോ ഇല്ല - ശുദ്ധ ഇടുക്കി കൃഷി. 🌿",Quality,Pepper,Malayalam
COD സൌകര്യമുണ്ടോ?,"അതെ! COD ലഭ്യമാണ്. ₹100 (₹60 booking + ₹40 COD charge) മുൻകൂർ വേണ്ടതുണ്ട്. ബാക്കി കൊരിയരിന് തന്നൽ നൽകാം. 💵",Payment,General,Malayalam
സന്തുഷ്ടമല്ലെങ്കിൽ മടക്കാം?,അതെ! 3 ദിവസത്തിനുള്ളിൽ free return ആന്റ് refund ലഭ്യമാണ്. 🔄,Returns,General,Malayalam
കൂടത്തരത്തിലുള്ള വാങ്ങൽ നിരക്ക് ഉണ്ടോ?,"അതെ വൈകും വാങ്ങുന്നവർ ആന്റ് ബിസിനസ്സ് ഗ്രാഹകർക്കായി സവിശേഷ നിരക്ക് ഉണ്ട്. ഉൽപാദനം, അളവ്, സ്ഥലം പറയൂ - കാസ്റ്റമ്മൈസ്ഡ് നിരക്ക് ഇതാ! 📊",Wholesale,General,Malayalam
എടുത്തുണ്ട് ഫോൻ ചെയ്യാം?,"അതെ! ഫോൺ ചെയ്യാം: 📞 8848265849",Support,General,Malayalam
ഇത് ഡെലിവറി കൊണ്ടാണ് വിലയോ?,"Delivery (₹40) സിർഫ് 100g ഓരോന്നിലാണ്. 200g+ പാക്കെ ആന്റ് കോമ്പോ കൂടി free ഡെലിവറി! ✅",Pricing,General,Malayalam
Google Pay വഴി എങ്ങനെ പേയ് ചെയ്യാം?,"₹___ എത്ര വേണ്ടത് Google Pay-ൽ 8075519579 എലേക്ക് അയക്കൂ PureLeven Exim ന്റെ പേരിൽ. കഴിഞ്ഞശേഷം screenshot ഇവിടെ share ചെയ്യൂ.",Payment,General,Malayalam
ബാങ്ക് ട്രാൻസ്ഫർ വഴി?,"അയയ്ക്കൂ: BASIL THOMAS | A/C: 50100439256291 | IFSC: HDFC0000133. കഴിഞ്ഞശേഷം screenshot ഇവിടെ share ചെയ്യൂ.",Payment,General,Malayalam
COD എങ്ങനെ പ്രവർത്തിക്കുന്നു?,COD-ൽ ₹100 മുൻകൂർ (₹60 booking + ₹40 COD charge) വേണ്ടതുണ്ട്. ബാക്കി കൊരിയരിന് ഡെലിവറിയ്ക്കു സമയം നൽകാം.,Payment,General,Malayalam
എന്റെ ഓർഡർ വന്നിട്ടില്ല,ക്ഷമിക്കണം! 🙏 Order date, address, എന്ത് order ചെയ്തു - ഇത് പറയൂ. ഞങ്ങൾ പെട്ടെന്നു check ചെയ്ത് fix ചെയ്യാം.,Complaint,General,Malayalam
തെറ്റായ വസ്തു വന്നു,പാപം! 🙏 Photo എടുത്ത് order details പറയൂ. ശരിയായ വസ്തു പെട്ടെന്നു അയക്കാം.,Complaint,General,Malayalam
എന്നോട് refund തരാം?,സൊരി! 🙏 Order details ആന്റ് refund കാരണം പറയൂ. 3 ദിവസത്തിനകം process ചെയ്യാം.,Returns,General,Malayalam
