event_name,source,trigger,live_endpoint_or_route,intended_destinations,current_status,evidence,required_action
PageView,Shopify storefront,Every page view with session attribution,https://track.pureleven.com/api/crm/events/page_view,CRM identity store plus Meta/Google/GA4 attribution,partial_fixed,"Post-fix enriched probe stored gclid fbclid fbp fbc ga_client_id ga_session_id; recent non-audit homepage page_views observed; some cached HTML may still show old asset URL","Monitor Shopify cache propagation and next ad-click landing sessions"
Identify,Shopify storefront,Known email/phone/customer data,https://track.pureleven.com/api/crm/identify,CRM identity resolver,partial_fixed,"Post-fix identify probe returned identity_id; live logs show identify POSTs 200","Monitor live identity linkage and add fbp/fbc use in resolver if needed"
ProductInterest,Shopify product page,audience-tracking snippet view event,https://track.pureleven.com/api/crm/events/ga4,CRM event store and GA4/audience relay,partial,"Product page contains audience-tracking and /api/crm/events/ga4; recent Postgres had 50 GA4 source events","Keep relay and attach attribution identity/session data"
AddToCartInterest,Shopify product page,audience-tracking add-to-cart handler,https://track.pureleven.com/api/crm/events/ga4,CRM event store and GA4/audience relay,partial,"Live product page contains pl_add_to_cart_interest logic","Verify live volume and add Meta/Google audience export if required"
HighIntent,Shopify product page,Audience snippet threshold logic,https://track.pureleven.com/api/crm/events/ga4,CRM event store and GA4 audience,partial,"Snippet contains pl_high_intent behavior","Verify thresholds and downstream audience usage"
ComboInterest,Shopify product page,Audience snippet product categorization,https://track.pureleven.com/api/crm/events/ga4,CRM event store and GA4 audience,partial,"Snippet contains pl_combo_interest behavior","Verify event property quality"
CrossCategoryInterest,Shopify product page,Audience snippet category logic,https://track.pureleven.com/api/crm/events/ga4,CRM event store and GA4 audience,partial,"Snippet contains pl_cross_category behavior","Verify event property quality"
CartCreate,Shopify webhook,carts/create,https://track.pureleven.com/api/crm/webhooks/shopify,CRM cart identity and abandon-cart tracking,route_fixed_pending_event,"Post-fix Shopify readback shows unified CRM address and no broken suffixed path","Add explicit cart topic handling if CRM needs cart event rows"
CartUpdate,Shopify webhook,carts/update,https://track.pureleven.com/api/crm/webhooks/shopify,CRM cart identity and abandon-cart tracking,route_fixed_pending_event,"Post-fix Shopify readback shows unified CRM address and no broken suffixed path","Add explicit cart topic handling if CRM needs cart event rows"
CheckoutCreate,Shopify webhook,checkouts/create,https://track.pureleven.com/api/crm/webhooks/shopify,CRM checkout identity and InitiateCheckout,route_fixed_pending_event,"Post-fix Shopify readback shows unified CRM address and no broken suffixed path","Verify next checkout webhook creates CRM event"
CheckoutUpdate,Shopify webhook,checkouts/update,https://track.pureleven.com/api/crm/webhooks/shopify,CRM checkout identity and InitiateCheckout,route_fixed_pending_event,"Post-fix Shopify readback shows unified CRM address and no broken suffixed path","Verify next checkout webhook creates CRM event"
CustomerCreate,Shopify webhook,customers/create,https://track.pureleven.com/api/crm/webhooks/shopify,CRM customer identity,route_fixed_pending_event,"Post-fix Shopify readback shows unified CRM address and no broken suffixed path","Verify next customer webhook updates CRM identity"
CustomerUpdate,Shopify webhook,customers/update,https://track.pureleven.com/api/crm/webhooks/shopify,CRM customer identity,route_fixed_pending_event,"Post-fix Shopify readback shows unified CRM address and no broken suffixed path","Verify next customer webhook updates CRM identity"
OrderCreated,Shopify webhook,orders/create,https://track.pureleven.com/api/crm/webhooks/shopify and https://track.pureleven.com/api/shopify/webhook/order-created,CRM order store plus attribution binding plus journey backend,route_fixed_pending_event,"Post-fix Shopify readback shows both CRM and direct order webhooks on track host","Verify next order creates rows in Postgres and journey store"
Purchase,Shopify webhook,orders/paid,https://track.pureleven.com/api/crm/webhooks/shopify and https://track.pureleven.com/api/shopify/webhook/order-paid,Meta CAPI plus Google Ads plus GA4 MP,route_fixed_pending_destination_validation,"Post-fix Shopify readback shows CRM orders/paid webhook; fraud gate patched for attributed missing-PII orders","Validate next paid order fan-out and destination responses"
OrderFulfilled,Shopify webhook,orders/fulfilled,https://track.pureleven.com/api/crm/webhooks/shopify and https://track.pureleven.com/api/shopify/webhook/order-fulfilled,CRM fulfillment and possible lifecycle conversion,route_fixed_pending_event,"Post-fix Shopify readback shows both CRM and direct order webhooks on track host","Verify next fulfillment updates CRM and journey state"
CODDelivered,CRM order lifecycle,Delivered/COD milestone,root CRM order lifecycle code,Google Ads offline conversion and CRM analytics,not_proven,"Google upload helper accepts one conversion action only; live sent state is 0","Add conversion action mapping and lifecycle tests"
Lead,CRM leads API,POST lead creation,/api/crm/leads,CRM lead store and possible Meta/Google lead conversion,partial,"Lead CRUD exists but no confirmed destination fan-out from create_lead","Add explicit conversion/audience behavior if lead conversion is required"
